O*NET-SOC Code,Title,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness
11-1011.00,Chief Executives,0.043333333,0.341666667,0.193333333,0.423333333,0.993333333,0.661666667,0.916289593,0.507352941,0.844861021,0.86199095,0.812217195
11-1021.00,General and Operations Managers,0.2,0.228333333,0.048333333,0.396666667,1,0.723333333,0.875565611,0.554298643,0.806399483,0.766968326,0.674208145
11-1031.00,Legislators,0.09,0.391666667,0.283333333,0.448333333,0.753333333,0.436666667,0.947963801,0.599547511,0.802521008,0.817647059,0.785822021
11-2011.00,Advertising and Promotions Managers,0,0.115,0.478333333,0.356666667,1,0.571666667,0.883484163,0.470022624,0.680995475,0.736199095,0.746606335
11-2021.00,Marketing Managers,0,0.316666667,0.241666667,0.303333333,1,0.616666667,0.841628959,0.472285068,0.712023271,0.737104072,0.786576169
11-2022.00,Sales Managers,0.081666667,0.111666667,0.06,0.395,1,0.755,0.915158371,0.520361991,0.755009696,0.77239819,0.634238311
11-2032.00,Public Relations Managers,0,0.223333333,0.445,0.53,1,0.565,0.893665158,0.636877828,0.772462831,0.833031674,0.733031674
11-2033.00,Fundraising Managers,0,0.235,0.268333333,0.46,1,0.636666667,0.907239819,0.626131222,0.770523594,0.687330317,0.654600302
11-3012.00,Administrative Services Managers,0.07,0.186666667,0.018333333,0.456666667,0.911666667,0.878333333,0.708144796,0.569004525,0.70782159,0.611764706,0.518853695
11-3013.00,Facilities Managers,0.525,0.266666667,0.101666667,0.43,0.725,0.725,0.729638009,0.528846154,0.776341306,0.666968326,0.570889894
11-3013.01,Security Managers,0.398333333,0.448333333,0.05,0.291666667,0.771666667,0.738333333,0.712669683,0.514140271,0.883968972,0.72760181,0.613122172
11-3021.00,Computer and Information Systems Managers,0.28,0.581666667,0.078333333,0.225,0.681666667,0.823333333,0.78280543,0.558823529,0.813833226,0.687782805,0.798642534
11-3031.00,Financial Managers,0.06,0.243333333,0.098333333,0.34,1,0.76,0.820135747,0.528846154,0.84324499,0.670135747,0.631221719
11-3031.01,Treasurers and Controllers,0,0.2,0.028333333,0.28,0.858333333,0.906666667,0.746606335,0.468325792,0.882029735,0.625339367,0.64479638
11-3031.03,Investment Fund Managers,0.08,0.461666667,0.108333333,0.281666667,0.991666667,0.701666667,0.720588235,0.377828054,0.878151261,0.731221719,0.769230769
