O*NET-SOC Code,Title,Realistic,Investigative,Artistic,Social,Enterprising,Conventional,Career Category
11-1011.00,Chief Executives,0.18,0.4357,0.3086,0.5057,0.9943,0.71,Business & Finance
11-1011.03,Chief Sustainability Officers,0.2914,0.6829,0.3543,0.5071,0.9543,0.6414,Business & Finance
11-1021.00,General and Operations Managers,0.3143,0.3386,0.1843,0.4829,1,0.7629,"Engineering, Manufacturing & Construction"
11-1031.00,Legislators,0.22,0.4786,0.3857,0.5271,0.7886,0.5171,Law & Public Policy
11-2011.00,Advertising and Promotions Managers,0.1429,0.2414,0.5529,0.4486,1,0.6329,Business & Finance
11-2021.00,Marketing Managers,0.1429,0.4143,0.35,0.4029,1,0.6714,Business & Finance
11-2022.00,Sales Managers,0.2129,0.2386,0.1943,0.4814,1,0.79,Business & Finance
11-2032.00,Public Relations Managers,0.1429,0.3343,0.5243,0.5971,1,0.6271,"Arts, Communications & Humanities"
11-2033.00,Fundraising Managers,0.1429,0.3443,0.3729,0.5371,1,0.6886,Business & Finance
11-3012.00,Administrative Services Managers,0.2029,0.3029,0.1586,0.5343,0.9243,0.8957,Business & Finance
11-3013.00,Facilities Managers,0.5929,0.3714,0.23,0.5114,0.7643,0.7643,Business & Finance
11-3013.01,Security Managers,0.4843,0.5271,0.1857,0.3929,0.8043,0.7757,Business & Finance
11-3021.00,Computer and Information Systems Managers,0.3829,0.6414,0.21,0.3357,0.7271,0.8486,Technology & IT
11-3031.00,Financial Managers,0.1943,0.3514,0.2271,0.4343,1,0.7943,Business & Finance
11-3031.03,Investment Fund Managers,0.2114,0.5386,0.2357,0.3843,0.9929,0.7443,Business & Finance
11-3051.00,Industrial Production Managers,0.5714,0.4171,0.2,0.2643,0.8614,0.7443,Business & Finance
11-3051.01,Quality Control Systems Managers,0.5114,0.5886,0.1829,0.2957,0.7271,0.7743,Business & Finance
11-3051.02,Geothermal Production Managers,0.7643,0.4786,0.1429,0.2957,0.6543,0.6886,Business & Finance
11-3051.03,Biofuels Production Managers,0.6557,0.5343,0.1429,0.2614,0.7729,0.7229,Business & Finance
11-3051.04,Biomass Power Plant Managers,0.7314,0.4557,0.1429,0.2457,0.6943,0.7629,"Engineering, Manufacturing & Construction"
11-3051.06,Hydroelectric Production Managers,0.7671,0.52,0.1429,0.2614,0.6529,0.7171,"Engineering, Manufacturing & Construction"
11-3061.00,Purchasing Managers,0.3557,0.2529,0.1714,0.3857,1,0.8543,Business & Finance
11-3071.00,"Transportation, Storage, and Distribution Managers",0.5143,0.3771,0.1429,0.3414,0.8557,0.82,"Arts, Communications & Humanities"
11-3071.04,Supply Chain Managers,0.4843,0.3514,0.1429,0.2914,0.8914,0.75,Business & Finance
11-3111.00,Compensation and Benefits Managers,0.1429,0.3114,0.2014,0.5443,1,0.8086,Business & Finance
11-3121.00,Human Resources Managers,0.18,0.33,0.2143,0.5543,1,0.7914,Business & Finance
11-3131.00,Training and Development Managers,0.2714,0.4343,0.3671,0.7914,0.9071,0.5771,Business & Finance
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.7371,0.3914,0.1514,0.3757,0.7886,0.6471,Business & Finance
11-9021.00,Construction Managers,0.6686,0.4543,0.2429,0.3357,0.8186,0.6857,"Engineering, Manufacturing & Construction"
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.1714,0.4143,0.3971,0.9229,0.6929,0.6471,Education
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.1871,0.4371,0.4057,0.8171,0.7629,0.6686,Education
11-9033.00,"Education Administrators, Postsecondary",0.1429,0.5471,0.4014,0.8057,0.7571,0.7014,Education
11-9041.00,Architectural and Engineering Managers,0.4271,0.6514,0.3771,0.4214,0.9143,0.6329,"Engineering, Manufacturing & Construction"
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.5943,0.8343,0.3014,0.3,0.6714,0.5014,Business & Finance
11-9051.00,Food Service Managers,0.5943,0.28,0.2329,0.5043,0.8529,0.7229,Business & Finance
11-9071.00,Gambling Managers,0.4,0.1929,0.1557,0.4086,0.9629,0.78,Business & Finance
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",0.4786,0.28,0.2829,0.5614,0.8929,0.72,"Arts, Communications & Humanities"
11-9081.00,Lodging Managers,0.3843,0.1571,0.2043,0.6157,0.8871,0.7457,Business & Finance
11-9111.00,Medical and Health Services Managers,0.2929,0.5357,0.2071,0.6286,0.85,0.7386,Healthcare & Medicine
11-9121.00,Natural Sciences Managers,0.3914,0.8386,0.3486,0.4414,0.8,0.6029,Science & Mathematics
11-9121.01,Clinical Research Coordinators,0.2257,0.8429,0.2514,0.5114,0.6157,0.6871,Healthcare & Medicine
11-9141.00,"Property, Real Estate, and Community Association Managers",0.4686,0.3014,0.2414,0.5043,0.9529,0.7514,Science & Mathematics
11-9151.00,Social and Community Service Managers,0.1429,0.31,0.3471,0.7757,0.9957,0.6014,Business & Finance
11-9161.00,Emergency Management Directors,0.5043,0.6414,0.26,0.5729,0.7243,0.67,"Arts, Communications & Humanities"
11-9171.00,Funeral Home Managers,0.4014,0.3314,0.27,0.6214,0.9114,0.6514,Business & Finance
11-9179.01,Fitness and Wellness Coordinators,0.4586,0.3843,0.3057,0.7971,0.7743,0.5214,Business & Finance
11-9179.02,Spa Managers,0.3571,0.1871,0.2629,0.5986,1,0.7014,Business & Finance
